filename,prompt,magic_prompt,magic_prompt_output,aspect_ratio,model,visibility,seed_number,rendering,negative_prompt,style,color_palette
0001_1_a-book-cover-with-the-title-the-heart-of_UZqar1EtS-CWbNrnn4-k7w_Z_Hz8ptsTbqYcd04Qk4BjQ_cover.png,"A alternative book cover for ""The HeART of LaserFocused Coaching A Revolutionary Approach to Masterful Coaching""",AUTO,"A book cover with the title ""The HeART of LaserFocused Coaching: A Revolutionary Approach to Masterful Coaching"". In the background, there is a laser that is focused on a heartbeat. The heartbeat is enclosed within a heart. The overall design is in shades of red, pink, and grey.",16:10,2.0,private,886123967,default,,auto,
0001_2_a-book-cover-with-a-pink-and-blue-gradie_b0NiyZgaQYepJC5R0UfvuA_Z_Hz8ptsTbqYcd04Qk4BjQ.png,"A alternative book cover for ""The HeART of LaserFocused Coaching A Revolutionary Approach to Masterful Coaching""",AUTO,"A book cover with a pink and blue gradient background. There's a laser pointer on the title of the book, ""The HeART of LaserFocused Coaching: A Revolutionary Approach to Masterful Coaching."" The author's name, ""Dr. Jane Doe,"" is written below the title. There's a pink heart with a laser dot in the middle. The overall design has a clean and modern aesthetic.",16:10,2.0,private,886123967,default,,auto,
0001_3_a-book-cover-illustration-of-a-laser-poi_jRCvU6lnQLGVEJ0WxfcKww_Z_Hz8ptsTbqYcd04Qk4BjQ.png,"A alternative book cover for ""The HeART of LaserFocused Coaching A Revolutionary Approach to Masterful Coaching""",AUTO,"A book cover illustration of a laser pointer focusing on the heart. The heart is made of multiple layers, with each layer representing a different level of coaching. The background is dark.",16:10,2.0,private,886123967,default,,auto,
0001_4_a-book-cover-illustration-of-a-laser-poi_wavTyxh0QHancZAyuaAa6g_Z_Hz8ptsTbqYcd04Qk4BjQ.png,"A alternative book cover for ""The HeART of LaserFocused Coaching A Revolutionary Approach to Masterful Coaching""",AUTO,"A book cover illustration of a laser pointer shining on a heart-shaped rock. There's a quote bubble above the heart with the text ""The HeART of LaserFocused Coaching"". The background is a serene landscape with mountains, trees, and water. The overall image has a warm, earthy color palette.",16:10,2.0,private,886123967,default,,auto,
0002_1_an-alternative-book-cover-for-the-greate_HWwQURhZS3mhr9ZE-OKYBg_fDIgxbYfQ8CV0RcmjUzXeQ_cover.png,"A alternative book cover for ""The Greatest Salesman In The World""",AUTO,"An alternative book cover for ""The Greatest Salesman In The World"" featuring a man with a top hat and cane. The man is standing on a pile of gold coins. The background is a city with tall buildings. The overall image has a vintage feel.",16:10,2.0,private,1780324319,default,,auto,
0002_2_a-book-cover-with-a-vintage-aesthetic-th_VfRKsWRnSNyF-CNJPs5Skw_fDIgxbYfQ8CV0RcmjUzXeQ.png,"A alternative book cover for ""The Greatest Salesman In The World""",AUTO,"A book cover with a vintage aesthetic. The title ""The Greatest Salesman In The World"" is written in bold, gold letters. Below the title is the author's name, Og Mandino. The background is a beige parchment with a textured pattern. There are green leaves and a red apple placed at the bottom.",16:10,2.0,private,1780324319,default,,auto,
0002_3_a-book-cover-with-the-title-the-greatest_YVQKGZhgQTSKGbYT2Yozvg_fDIgxbYfQ8CV0RcmjUzXeQ.png,"A alternative book cover for ""The Greatest Salesman In The World""",AUTO,"A book cover with the title ""The Greatest Salesman In The World"" in bold, gold letters. The background is a textured, dark green wall. There is a golden plaque below the title with the author's name, ""Og Mandino"". The background contains a simple, dark green pattern.",16:10,2.0,private,1780324319,default,,auto,
0002_4_an-alternative-book-cover-illustration-f_zto-DtBLSh2N3jm3ll4U_w_fDIgxbYfQ8CV0RcmjUzXeQ.png,"A alternative book cover for ""The Greatest Salesman In The World""",AUTO,"An alternative book cover illustration for ""The Greatest Salesman In The World"". There is a man with a top hat and cane standing on a rock in the middle of a turbulent river. The background contains mountains, trees, and a bridge. The overall image has a vintage feel.",16:10,2.0,private,1780324319,default,,auto,
0003_1_a-book-cover-with-a-dark-blue-background_ClAmU9DKQUmM1jHK9GEGSw_q-rdHrS1SrmEUkNbxFTaZQ_cover.png,"A alternative book cover for ""The Good Jobs Strategy How the Smartest Companies Invest in Employees to Lower Costs and Boost Profits""",AUTO,"A book cover with a dark blue background and white text. There's a silhouette of a person with their hands raised in the air. Below the silhouette, the text ""The Good Jobs Strategy"" is written in large white letters. Below that, the subtitle ""How the Smartest Companies Invest in Employees to Lower Costs and Boost Profits"" is written in smaller white letters. The overall design is clean and minimalistic.",16:10,2.0,private,605555321,default,,auto,
0003_2_a-book-cover-with-a-design-of-a-hand-hol_cXvA9RAfSr2Vsrxh3bY64w_q-rdHrS1SrmEUkNbxFTaZQ.png,"A alternative book cover for ""The Good Jobs Strategy How the Smartest Companies Invest in Employees to Lower Costs and Boost Profits""",AUTO,"A book cover with a design of a hand holding a lever. When the lever is pulled down, it releases a bucket of money. The lever is attached to a pulley system. The background is a factory with machines. The overall design is in shades of blue and gray.",16:10,2.0,private,605555321,default,,auto,
