filename,prompt,magic_prompt,magic_prompt_output,aspect_ratio,model,visibility,seed_number,rendering,negative_prompt,style,color_palette
0001_1_an-alternative-book-cover-for-insights-f_QTp5Z63rRimSUV1E4Lk_6g_mXHfv5O1RvGALWoCf14y5Q.png,"A alternative book cover for ""Insights† from† To†Sell†Is†Human†by†Daniel† Pink""",AUTO,"An alternative book cover for ""Insights† from† To†Sell†Is†Human†by†Daniel† Pink"". The cover features a hand holding a lightbulb. In the background, there are various objects such as a brain, a heart, and a dollar sign. The objects are partially covered by a yellow background. The text ""Insights† from† To†Sell†Is†Human†by†Daniel† Pink"" is written in white, bold font at the bottom.",16:10,2.0,private,1565020986,default,,auto,
0001_2_a-book-cover-with-the-title-insights-fro_RJU36nF6Qp6edJpKS_rbrg_mXHfv5O1RvGALWoCf14y5Q.png,"A alternative book cover for ""Insights† from† To†Sell†Is†Human†by†Daniel† Pink""",AUTO,"A book cover with the title ""Insights† from† To†Sell†Is†Human†by†Daniel† Pink"". The background is a gradient of purple to blue. There's a person with pink hair wearing a suit and a tie. The person is standing in front of a wall with pink patterns. The overall design is modern and eye-catching.",16:10,2.0,private,1565020986,default,,auto,
0001_3_a-book-cover-illustration-of-a-person-s-_Z4xvmEQbTTy0gXWMYapWlg_mXHfv5O1RvGALWoCf14y5Q.png,"A alternative book cover for ""Insights† from† To†Sell†Is†Human†by†Daniel† Pink""",AUTO,"A book cover illustration of a person's face with the eyes replaced by dollar signs. The title ""Insights† from† To†Sell†Is†Human†by†Daniel† Pink"" is written below the image. The background is a gradient of blue and purple.",16:10,2.0,private,1565020986,default,,auto,
0001_4_an-alternative-book-cover-illustration-f_xAa6FLdARRO5uJHX4Oanmw_mXHfv5O1RvGALWoCf14y5Q_cover.png,"A alternative book cover for ""Insights† from† To†Sell†Is†Human†by†Daniel† Pink""",AUTO,"An alternative book cover illustration for ""Insights† from† To†Sell†Is†Human†by†Daniel† Pink"". The illustration is a futuristic city with flying cars. There are multiple buildings with large screens displaying various data. In the foreground, there's a man wearing a suit and a woman wearing a dress. The man is holding a large check, and the woman is holding a small box. The background contains a few flying drones.",16:10,2.0,private,1565020986,default,,auto,
0002_1_a-book-cover-with-the-title-insights-fro_i5pChjL3ShqACfeap0LOVA_aTvx1GZpT5muBv0njQAflQ_cover.png,"A alternative book cover for ""Insights† from† Thinking, †Fast†and† Slow† by†Daniel†Kahneman""",AUTO,"A book cover with the title ""Insights† from† Thinking, †Fast†and† Slow† by†Daniel†Kahneman"". The background is a brain with neurons illuminated. The foreground contains a lightbulb, a brain, and a heart.",16:10,2.0,private,595158781,default,,auto,
0002_2_an-alternative-book-cover-for-insights-f_lFMooJHtRvyFyHIRJLEVxQ_aTvx1GZpT5muBv0njQAflQ.png,"A alternative book cover for ""Insights† from† Thinking, †Fast†and† Slow† by†Daniel†Kahneman""",AUTO,"An alternative book cover for ""Insights from Thinking, Fast and Slow"" by Daniel Kahneman. The cover image is a split-brain operation. On the left side, there is a brain with a surgeon wearing a mask. On the right side, there is a brain with a light bulb above it. The background is a gradient of blue and purple. The title and author's name are in white, modern font.",16:10,2.0,private,595158781,default,,auto,
0002_3_an-alternative-book-cover-illustration-f_o7oFarabRUOXF1XgtRiknw_aTvx1GZpT5muBv0njQAflQ.png,"A alternative book cover for ""Insights† from† Thinking, †Fast†and† Slow† by†Daniel†Kahneman""",AUTO,"An alternative book cover illustration for ""Insights† from† Thinking, †Fast†and† Slow† by†Daniel†Kahneman"". The illustration features a brain with two hemispheres. The left hemisphere is blue and the right hemisphere is orange. There are arrows connecting the brain to a light bulb and a scale. The background is a gradient of purple to blue.",16:10,2.0,private,595158781,default,,auto,
0002_4_an-alternative-book-cover-illustration-f_oDfGVSGQSZ-CMXaHyWtAgg_aTvx1GZpT5muBv0njQAflQ.png,"A alternative book cover for ""Insights† from† Thinking, †Fast†and† Slow† by†Daniel†Kahneman""",AUTO,"An alternative book cover illustration for ""Insights† from† Thinking, †Fast†and† Slow† by†Daniel†Kahneman"". There's a brain with a light bulb above it. The background is a gradient of blue to purple. The text ""Insights† from† Thinking, †Fast†and† Slow†"" is at the top, and the author's name ""Daniel†Kahneman"" is at the bottom.",16:10,2.0,private,595158781,default,,auto,
0003_1_an-alternative-book-cover-for-insights-f_O7n-WhNjTead4UDYv3R9tA_JUNPP5EWQq-3nzRrU1VoSQ.png,"A alternative book cover for ""Insights† from† The†War†of†Art†by†Steven†Pressfield""",AUTO,"An alternative book cover for ""Insights† from† The†War†of†Art†by†Steven†Pressfield"". The cover features a painting of a battlefield with soldiers fighting. In the sky, there's a quote from the book in large, white letters. The background is a gradient of orange and blue.",16:10,2.0,private,1938812117,default,,auto,
0003_2_an-alternative-book-cover-for-insights-f_ZMEGk_edRXm4xBnK_vjj5Q_JUNPP5EWQq-3nzRrU1VoSQ.png,"A alternative book cover for ""Insights† from† The†War†of†Art†by†Steven†Pressfield""",AUTO,"An alternative book cover for ""Insights† from† The†War†of†Art†by†Steven†Pressfield"". The cover features a white background with the title and author's name in bold, black text. There is a large, red star in the upper left corner. Below the title and author's name, there is a black and white photograph of a lion's head with its mouth open.",16:10,2.0,private,1938812117,default,,auto,
0003_3_an-alternative-book-cover-illustration-f_j0fW3Wi-QrGYXydAwduQtg_JUNPP5EWQq-3nzRrU1VoSQ_cover.png,"A alternative book cover for ""Insights† from† The†War†of†Art†by†Steven†Pressfield""",AUTO,"An alternative book cover illustration for ""Insights† from† The†War†of†Art†by†Steven†Pressfield"". The illustration features a warrior standing on a mountain of books, with a sword in one hand and a shield in the other. The warrior is wearing a helmet and armour. In the background, there's a city with towers. The sky is cloudy.",16:10,2.0,private,1938812117,default,,auto,
