filename,prompt,magic_prompt,magic_prompt_output,aspect_ratio,model,visibility,seed_number,rendering,negative_prompt,style,color_palette
0001_1_a-book-cover-with-a-graphic-of-a-person-_MPkm5k-VRta3bVsqqh_3PA_Fq_RCFVeS_OrMqoIHM4n-w.png,"A alternative book cover for ""How to Start Run  Grow a Successful TShirt Business Work from Home Print and Sell Shirts Online and Offline  A Great Passive Income Business Model""",AUTO,"A book cover with a graphic of a person wearing a t-shirt with the text ""Start Run Grow a Successful T-Shirt Business"". The background is a scene of a bustling city. The text ""Work from Home Print and Sell Shirts Online and Offline A Great Passive Income Business Model"" is displayed below the graphic.",16:10,2.0,private,1993398298,default,,auto,
0001_2_a-creative-alternative-book-cover-design_MqvG73F_QI6CeMOI9PNcKQ_Fq_RCFVeS_OrMqoIHM4n-w.png,"A alternative book cover for ""How to Start Run  Grow a Successful TShirt Business Work from Home Print and Sell Shirts Online and Offline  A Great Passive Income Business Model""",AUTO,"A creative alternative book cover design for ""How to Start, Run, and Grow a Successful T-Shirt Business: Work from Home, Print and Sell Shirts Online and Offline - A Great Passive Income Business Model"". The design features a t-shirt with the text ""How to Start, Run, and Grow a Successful T-Shirt Business"". The background is a collage of various t-shirt designs and a laptop. The overall design has a modern, minimalistic aesthetic with a touch of vintage.",16:10,2.0,private,1993398298,default,,auto,
0001_3_an-alternative-book-cover-illustration-f_Wcg1ml3QSdeYXw-T80yYig_Fq_RCFVeS_OrMqoIHM4n-w_cover.png,"A alternative book cover for ""How to Start Run  Grow a Successful TShirt Business Work from Home Print and Sell Shirts Online and Offline  A Great Passive Income Business Model""",AUTO,"An alternative book cover illustration for ""How to Start, Run, Grow a Successful T-Shirt Business: Work from Home, Print and Sell Shirts Online and Offline - A Great Passive Income Business Model"". The illustration features a man working from home, printing t-shirts, and selling them online and offline, with a great passive income business model. The background is a modern office space with a desk, chair, and printer. There are t-shirts hanging on a rack and a pile of t-shirts on the floor. The overall image has a professional and modern aesthetic.",16:10,2.0,private,1993398298,default,,auto,
0001_4_an-illustration-of-a-man-working-from-ho_neN8doKvQUOKlMRYzduIDg_Fq_RCFVeS_OrMqoIHM4n-w.png,"A alternative book cover for ""How to Start Run  Grow a Successful TShirt Business Work from Home Print and Sell Shirts Online and Offline  A Great Passive Income Business Model""",AUTO,"An illustration of a man working from home, printing t-shirts. There's a large printing machine in the background, and the man is wearing a purple shirt. The wall behind him has a whiteboard with calculations. The floor is tiled. The lighting is bright.",16:10,2.0,private,1993398298,default,,auto,
0002_1_a-book-cover-with-a-blue-background-and-_E1gWNI1zSsCPTWWjo9V1hw_u6C5FiXTTnSIq-q1qpc5Lw.png,"A alternative book cover for ""HOW TO START EXPORT BUSINESS IN INDIA A COMPLETE GUIDE FROM COMPANY REGISTRATION TO EXPORT""",AUTO,"A book cover with a blue background and white text. The text reads ""HOW TO START EXPORT BUSINESS IN INDIA A COMPLETE GUIDE FROM COMPANY REGISTRATION TO EXPORT"". At the bottom, there's a small orange box with white text that says ""A Step-by-Step Guide for Entrepreneurs"".",16:10,2.0,private,1798682262,default,,auto,
0002_2_an-alternative-book-cover-design-for-how_I5OgThMURsW8TFuPVOXEnA_u6C5FiXTTnSIq-q1qpc5Lw_cover.png,"A alternative book cover for ""HOW TO START EXPORT BUSINESS IN INDIA A COMPLETE GUIDE FROM COMPANY REGISTRATION TO EXPORT""",AUTO,"An alternative book cover design for ""HOW TO START EXPORT BUSINESS IN INDIA A COMPLETE GUIDE FROM COMPANY REGISTRATION TO EXPORT"". The cover is a vibrant orange background with a white text that says ""HOW TO START EXPORT BUSINESS IN INDIA"". Below the text, there is a white silhouette of a globe with multiple continents. In the bottom right corner, there is a white speech bubble with the text ""A COMPLETE GUIDE"".",16:10,2.0,private,1798682262,default,,auto,
0002_3_a-vector-illustration-of-a-man-in-a-suit_PHVhq6D6TrWLtzZoKe_F6A_u6C5FiXTTnSIq-q1qpc5Lw.png,"A alternative book cover for ""HOW TO START EXPORT BUSINESS IN INDIA A COMPLETE GUIDE FROM COMPANY REGISTRATION TO EXPORT""",AUTO,"A vector illustration of a man in a suit holding a world globe. The globe has various countries highlighted, including India. The man is standing in front of a building with the text ""START EXPORT BUSINESS IN INDIA"". There is a speech bubble coming from the man's mouth, containing the text ""A COMPLETE GUIDE FROM COMPANY REGISTRATION TO EXPORT"".",16:10,2.0,private,1798682262,default,,auto,
0002_4_an-illustrated-alternative-book-cover-fo_ZDfvzbOkRU6yviCZMTeUTQ_u6C5FiXTTnSIq-q1qpc5Lw.png,"A alternative book cover for ""HOW TO START EXPORT BUSINESS IN INDIA A COMPLETE GUIDE FROM COMPANY REGISTRATION TO EXPORT""",AUTO,"An illustrated alternative book cover for ""HOW TO START EXPORT BUSINESS IN INDIA A COMPLETE GUIDE FROM COMPANY REGISTRATION TO EXPORT"". There is a globe with various countries marked on it. The background is a gradient of orange and yellow. There is a briefcase with a business shirt on top of the globe. There is a book with the title ""HOW TO START EXPORT BUSINESS IN INDIA A COMPLETE GUIDE FROM COMPANY REGISTRATION TO EXPORT"". The book is placed on a pile of other books.",16:10,2.0,private,1798682262,default,,auto,
0003_1_an-alternative-book-cover-for-how-to-see_PE_HbPyIS6i2MAJgy5Up_g_aQiZqKKqQaaoCIYlUNi4bw_cover.png,"A alternative book cover for ""How to See a Breakout before it really happens Breakout Signals in Descending Channels""",AUTO,"An alternative book cover for ""How to See a Breakout before it really happens Breakout Signals in Descending Channels"". The cover features a chart with a descending channel and a breakout. There is a rocket ship blasting off from the channel. The background is a deep space with stars. The text is in a modern, bold font.",16:10,2.0,private,1564846022,default,,auto,
0003_2_a-book-cover-with-the-title-how-to-see-a_bUzB7UmuTzKL-5EXMAn4BA_aQiZqKKqQaaoCIYlUNi4bw.png,"A alternative book cover for ""How to See a Breakout before it really happens Breakout Signals in Descending Channels""",AUTO,"A book cover with the title ""How to See a Breakout before it really happens Breakout Signals in Descending Channels"". The background is a graph with a descending channel and a breakout point. The channel has a few trend lines with different colors. The surface is a textured, old-looking paper.",16:10,2.0,private,1564846022,default,,auto,
