filename,prompt,magic_prompt,magic_prompt_output,aspect_ratio,model,visibility,seed_number,rendering,negative_prompt,style,color_palette
0001_1_a-book-cover-with-the-title-insights-fro_MU1iYsRGQFSq6y0kzuUHmg_X4-CdNknQ3CPBmCwzeghtw_cover.png,"A alternative book cover for ""Insights†from†The †Coaching †Habit†by†Michael†Bungay†Stanier""",AUTO,"A book cover with the title ""Insights†from†The †Coaching †Habit†by†Michael†Bungay†Stanier"". The background is a blurred image of a city at night with bright lights. There is a quote from the book, ""The best investment you can make is an investment in yourself."", written in bold letters. The author's name is written in smaller letters below the title.",16:10,2.0,private,852037872,default,,auto,
0001_2_a-book-cover-with-a-photo-of-a-coffee-cu_illHxUDyQpGhkQGZ-ak6Cg_X4-CdNknQ3CPBmCwzeghtw.png,"A alternative book cover for ""Insights†from†The †Coaching †Habit†by†Michael†Bungay†Stanier""",AUTO,"A book cover with a photo of a coffee cup on a wooden table. There's a pen next to the cup. The background is blurred and contains potted plants and a few items. The title ""Insights†from†The †Coaching †Habit†by†Michael†Bungay†Stanier"" is written in a modern font below the image. The author's name is written in a smaller font below the title.",16:10,2.0,private,852037872,default,,auto,
0001_3_a-book-cover-with-a-white-background-the_lsyAL6l-SASpOeYTeLVmbg_X4-CdNknQ3CPBmCwzeghtw.png,"A alternative book cover for ""Insights†from†The †Coaching †Habit†by†Michael†Bungay†Stanier""",AUTO,"A book cover with a white background. The title ""Insights†from†the†Coaching †Habit†by†Michael†Bungay†Stanier"" is written in red, bold, and centered. Below the title, there's a red line. The author's name, ""Michael Bungay Stanier"", is written in red, bold, and centered below the red line. The subtitle, ""The Secrets to Unlocking Your Masterclass Potential"", is written in smaller, red text below the author's name. There's a red circle with a white checkmark inside it to the right of the author's name.",16:10,2.0,private,852037872,default,,auto,
0001_4_a-book-cover-illustration-for-insights-f_mYsrbYejT3ihBwtIkGEBgw_X4-CdNknQ3CPBmCwzeghtw.png,"A alternative book cover for ""Insights†from†The †Coaching †Habit†by†Michael†Bungay†Stanier""",AUTO,"A book cover illustration for ""Insights†from†The †Coaching †Habit†by†Michael†Bungay†Stanier"". The cover features a man with a briefcase walking on water. The background contains a serene landscape with mountains, trees, and a clear sky. The title and author's name are written in white text on a dark blue background.",16:10,2.0,private,852037872,default,,auto,
0002_1_a-book-cover-with-the-title-insights-fro_RO-3qyxFRLm3hQC11Yopsw_udAwhZckRzO-Fb27JvHzaw.png,"A alternative book cover for ""Insights†from†The †Alter†Ego †Effect†by†Todd†Herman""",AUTO,"A book cover with the title ""Insights†from†The †Alter†Ego †Effect†by†Todd†Herman"". The background is a purple gradient. There is a brain with multiple personalities, each with a distinct face, and they are holding hands. The book cover has a metallic gold border.",16:10,2.0,private,1477930625,default,,auto,
0002_2_a-book-cover-with-a-purple-background-an_YlJyrrzhQTCdI-zooc-wOQ_udAwhZckRzO-Fb27JvHzaw.png,"A alternative book cover for ""Insights†from†The †Alter†Ego †Effect†by†Todd†Herman""",AUTO,"A book cover with a purple background and white text. The text says ""Insights†from†The †Alter†Ego †Effect†by†Todd†Herman"". There is a silhouette of a person in a purple suit with a yellow tie. The person has their hands raised up. The silhouette is superimposed on a city skyline.",16:10,2.0,private,1477930625,default,,auto,
0002_3_an-alternative-book-cover-illustration-f_eT3PfEr1StmKsu6885bhXA_udAwhZckRzO-Fb27JvHzaw.png,"A alternative book cover for ""Insights†from†The †Alter†Ego †Effect†by†Todd†Herman""",AUTO,"An alternative book cover illustration for ""Insights†from†The †Alter†Ego †Effect†by†Todd†Herman"". The cover features a brain with a hand coming out of it, holding a light bulb. There are light bulbs floating around the brain. The background is a gradient of purple and blue.",16:10,2.0,private,1477930625,default,,auto,
0002_4_an-alternative-book-cover-illustration-f_iWFxGQ_tQVmTDGL0aifidA_udAwhZckRzO-Fb27JvHzaw_cover.png,"A alternative book cover for ""Insights†from†The †Alter†Ego †Effect†by†Todd†Herman""",AUTO,"An alternative book cover illustration for ""Insights†from†The †Alter†Ego †Effect†by†Todd†Herman"". A man with a beard and glasses is sitting at a desk with a computer. He is wearing a blue shirt and a necklace. The background is a room with bookshelves and plants. The room has a warm hue.",16:10,2.0,private,1477930625,default,,auto,
0003_1_a-book-cover-with-the-title-insights-fro__sI5z7oxQ3CtonLyfGjUMw_X5_BwoeXTiaCGXp6hLYdfA_cover.png,"A alternative book cover for ""Insights†from†Stop†Overthinking†by †Nick†Trenton""",AUTO,"A book cover with the title ""Insights†from†Stop†Overthinking†by †Nick†Trenton"". There's a silhouette of a person with their hands raised to the sky, standing on a mountain top. The background is a vast expanse of clouds and sky. The overall design is minimalistic, with a gradient of blue and orange colors.",16:10,2.0,private,493586522,default,,auto,
0003_2_a-book-cover-with-a-blue-background-feat_GN8igoN-SnO5-p4rPcODFw_X5_BwoeXTiaCGXp6hLYdfA.png,"A alternative book cover for ""Insights†from†Stop†Overthinking†by †Nick†Trenton""",AUTO,"A book cover with a blue background featuring the title ""Insights†from†Stop†Overthinking†by †Nick†Trenton"". The title is in white, bold text. Below the title, the author's name is in white, italicized text. The author's name is slightly smaller than the title. Below the author's name, the subtitle ""How to Overcome Negative Thoughts and Embrace a More Positive Mindset"" is in white, italicized text and is slightly smaller than the author's name.",16:10,2.0,private,493586522,default,,auto,
0003_3_a-graphic-design-of-an-alternative-book-_WZY0-kMGRbypw0Y2-BkdYg_X5_BwoeXTiaCGXp6hLYdfA.png,"A alternative book cover for ""Insights†from†Stop†Overthinking†by †Nick†Trenton""",AUTO,"A graphic design of an alternative book cover for ""Insights†from†Stop†Overthinking†by †Nick†Trenton"". The cover is a blue background with a white brain and a lightbulb. The brain is split into two hemispheres. The lightbulb is glowing. The title and author of the book are written in white, bold text. The subtitle is written in white, italic text.",16:10,2.0,private,493586522,default,,auto,
0003_4_a-book-cover-illustration-with-a-brain-w_zrGZpwnBS5qC3YaaZoC2mw_X5_BwoeXTiaCGXp6hLYdfA.png,"A alternative book cover for ""Insights†from†Stop†Overthinking†by †Nick†Trenton""",AUTO,"A book cover illustration with a brain with a light bulb above it. There are multiple light bulbs inside the brain. The background is a gradient of pink to purple. The title and author are written in bold, modern font at the bottom.",16:10,2.0,private,493586522,default,,auto,
0004_1_a-book-cover-with-the-title-insights-fro_7VxPb0wJSheHqtzzmY-vYw_GNJRY3boS2KUBTea9WXniw.png,"A alternative book cover for ""Insights†from†So†Good† They†CanÄôt†Ignore†You†by†Cal†Newport""",AUTO,"A book cover with the title ""Insights†from†So†Good† They†CanÄôt†Ignore†You†by†Cal†Newport"". The background is a gradient of blue and purple. There is a silhouette of a person with outstretched arms against the gradient. The silhouette is made of small, glowing dots. The author's name, Cal Newport, is written in white, bold text below the title.",16:10,2.0,private,1139306587,default,,auto,
0004_2_a-dark-blue-background-with-white-text-t_Te86KJ6BTnOQ4qbzlC5imA_GNJRY3boS2KUBTea9WXniw.png,"A alternative book cover for ""Insights†from†So†Good† They†CanÄôt†Ignore†You†by†Cal†Newport""",AUTO,"A dark blue background with white text that says ""Insights†from†So†Good† They†CanÄôt†Ignore†You†by†Cal†Newport"". There is a silhouette of a person with their hand raised, as if giving a speech. Below the text, there is a line of small white stars.",16:10,2.0,private,1139306587,default,,auto,
0004_3_a-book-cover-with-a-dark-background-and-_UyDFRBAuSZmFEBkwNxF-xg_GNJRY3boS2KUBTea9WXniw_cover.png,"A alternative book cover for ""Insights†from†So†Good† They†CanÄôt†Ignore†You†by†Cal†Newport""",AUTO,"A book cover with a dark background and a glowing human eye. The eye is looking upwards. The title of the book, ""Insights†from†So†Good†They†CanÄ�t†Ignore†You†"", and the author's name, ""Cal†Newport"", are written in white, cursive text below the eye.",16:10,2.0,private,1139306587,default,,auto,
0004_4_a-book-cover-with-a-minimalist-design-th_WwXKkgw1QWaIKun7xXcW8g_GNJRY3boS2KUBTea9WXniw.png,"A alternative book cover for ""Insights†from†So†Good† They†CanÄôt†Ignore†You†by†Cal†Newport""",AUTO,"A book cover with a minimalist design. The title ""Insights from So Good They Can't Ignore You by Cal Newport"" is written in bold, white letters. Below the title, there's a silhouette of a person with their arms raised in the air. The background is a gradient of blue to purple.",16:10,2.0,private,1139306587,default,,auto,
0005_1_an-alternative-book-cover-for-insights-f_NtKobBFURDWwQ1YOXIHbug_iz1HPuhMSNO_Fb7F9hRLNQ.png,"A alternative book cover for ""Insights†from†Rethinking †Positive† Thinking†by†Gabriele†Oettingen""",AUTO,"An alternative book cover for ""Insights†from†Rethinking †Positive† Thinking†by†Gabriele†Oettingen"". The cover features a blue background with white text that says ""Insights†from†Rethinking †Positive† Thinking†by†Gabriele†Oettingen"". Below the text, there is a quote in white text that says ""The road to success is always under construction."" Beneath the quote, there is a yellow road sign with black text that says ""Closed for Repairs"".",16:10,2.0,private,1494742865,default,,auto,
