filename,prompt,magic_prompt,magic_prompt_output,aspect_ratio,model,visibility,seed_number,rendering,negative_prompt,style,color_palette
0001_1_an-alternative-book-cover-for-productivi_Nzvo_3beTaGY_6mALJeAjw_NoTKXL6LRNOGeaFa-HH1aA_cover.png," ""Productivity Principle The Five-Minute Favor""",AUTO,"An alternative book cover for ""Productivity Principle The Five-Minute Favor"". There's a man with a beard wearing a hat reading a book. The background is a library. The book title and author name are placed on a wooden background.",16:10,2,private,1468674680,default,,auto,
0001_2_a-book-cover-with-the-title-productivity_bs8JpchGTfCLfo99LiolDA_NoTKXL6LRNOGeaFa-HH1aA.png," ""Productivity Principle The Five-Minute Favor""",AUTO,"A book cover with the title ""Productivity Principle The Five-Minute Favor"". The background is a blurred image of a bustling city. There's a hand giving a thumbs up sign. The foreground contains a smartphone with a calendar app open, displaying multiple events. There's a pen and a sticky note with the text ""Five-Minute Favor"". The overall image has a warm hue.",16:10,2,private,1468674680,default,,auto,
0001_3_a-vector-illustration-of-a-stack-of-book_lgRQoAgiR2qnqyuKQ_ChJA_NoTKXL6LRNOGeaFa-HH1aA.png," ""Productivity Principle The Five-Minute Favor""",AUTO,"A vector illustration of a stack of books with the title ""Productivity Principle The Five-Minute Favor"". The bottom book has a smiley face. There is a hand holding a book from the top. The background is a gradient of orange and blue.",16:10,2,private,1468674680,default,,auto,
0001_4_an-alternative-book-cover-illustration-f_qBH-nKdARdOhkWbkD3UnHg_NoTKXL6LRNOGeaFa-HH1aA.png," ""Productivity Principle The Five-Minute Favor""",AUTO,"An alternative book cover illustration for ""Productivity Principle The Five-Minute Favor"". The illustration consists of a man with a beard and a woman with brown hair. The man is in a gray suit and the woman is in a red dress. They are shaking hands. The background is a conference room. There is a speech bubble from the man saying ""The Five-Minute Favor"".",16:10,2,private,1468674680,default,,auto,
0002_1_a-book-cover-with-a-blue-background-the-_BRx0dPoBQn6E_KGW8Fsrww_uTqTw9z6SHSRL9sXi9JTPQ.png," ""Productivity Principle The 4_ Zone""",AUTO,"A book cover with a blue background. The title ""Productivity Principle The 4_ Zone"" is written in white text. Below the title, there is a white circle with a green checkmark inside it.",16:10,2,private,1103162784,default,,auto,
0002_2_a-book-cover-with-the-title-productivity_eGo_Szf8TmWxBdgeuIv-3g_uTqTw9z6SHSRL9sXi9JTPQ.png," ""Productivity Principle The 4_ Zone""",AUTO,"A book cover with the title ""Productivity Principle: The 4-Zone"". There is a large green checkmark in the middle. Below the title, there is a quote that says ""Unlock your potential"". At the bottom, there is a small text that says ""David Allen"". The background is a light blue gradient.",16:10,2,private,1103162784,default,,auto,
0002_3_a-book-cover-with-a-minimalistic-design-_qZdG3ZbXR7WjOaqp9gwyJw_uTqTw9z6SHSRL9sXi9JTPQ.png," ""Productivity Principle The 4_ Zone""",AUTO,"A book cover with a minimalistic design. The title ""Productivity Principle: The 4- Zone"" is written in bold, capital letters. Below the title, there's a small image of a brain. The background is a gradient of soft pink to blue.",16:10,2,private,1103162784,default,,auto,
0002_4_an-alternative-book-cover-illustration-o_zI5lbd0lQpi4VCQ1sazH9g_uTqTw9z6SHSRL9sXi9JTPQ_cover.png," ""Productivity Principle The 4_ Zone""",AUTO,"An alternative book cover illustration of ""Productivity Principle The 4_ Zone"". There's a large clock with four hands, each pointing at a different zone. The zones are labeled as ""Sleep"", ""Healthy"", ""Work"", and ""Play"". There's a silhouette of a person with a briefcase, running. The background is a cityscape with tall buildings.",16:10,2,private,1103162784,default,,auto,
0003_1_a-minimalist-book-cover-design-with-a-la_-riT51ydQCaJociQGxrwNQ_5yoKcUquS1y9_dm9386mwQ.png," ""Productivity Principle Process vs. Product""",AUTO,"A minimalist book cover design with a large, bold text that says ""Productivity Principle Process vs. Product"". The background is a gradient of blue to purple.",16:10,2,private,207515745,default,,auto,
0003_2_a-book-cover-with-a-dark-background-ther_1zjeILEfSneWMxE9m7ANlA_5yoKcUquS1y9_dm9386mwQ.png," ""Productivity Principle Process vs. Product""",AUTO,"A book cover with a dark background. There's a lightbulb with a filament that's glowing. There's a hammer and a saw crossed over each other. The text ""Productivity Principle Process vs. Product"" is written in white, bold, and cursive font.",16:10,2,private,207515745,default,,auto,
0003_3_a-book-cover-with-the-title-productivity_MGCakHXhT1-hK97Ww_kfUQ_5yoKcUquS1y9_dm9386mwQ_cover.png," ""Productivity Principle Process vs. Product""",AUTO,"A book cover with the title ""Productivity Principle Process vs. Product"". The background is a blurred image of a modern office space with several people working at desks. The foreground contains a notepad, a pen, and a pair of glasses. A light bulb is hovering above the notepad, emitting a warm glow.",16:10,2,private,207515745,default,,auto,
0003_4_an-alternative-book-cover-illustration-f_jok3kiGJS9aWF_MHS8LMcA_5yoKcUquS1y9_dm9386mwQ.png," ""Productivity Principle Process vs. Product""",AUTO,"An alternative book cover illustration for ""Productivity Principle Process vs. Product"". It features a modern office setting with a man working on a laptop, a woman on a phone call, and a third person looking at documents. The background is blurred out, showing more office spaces. There's a speech bubble from the man with a lightbulb idea. The typography is bold and minimalistic.",16:10,2,private,207515745,default,,auto,
0004_1_a-book-cover-with-a-minimalist-design-on_cKFAhOmPQi6y8iNNfdbKfw_Mc6162aDQ3Sxmy5Zo0IIdg.png," ""Productivity Principle Predict to Perform""",AUTO,"A book cover with a minimalist design. On the left, there is a silhouette of a person with their hand raised. On the right, there is a checklist with a few items marked. The text ""Productivity Principle Predict to Perform"" is centered at the bottom. The background is a gradient of blue and orange.",16:10,2,private,1010028570,default,,auto,
0004_2_a-cover-with-a-cinematic-shot-of-a-man-w_q2tu_ezySBiJqq1x4oOH4A_Mc6162aDQ3Sxmy5Zo0IIdg_cover.png," ""Productivity Principle Predict to Perform""",AUTO,"A cover with a cinematic shot of a man with a mustache and glasses. He is wearing a suit and has his hands raised. In the background, there are multiple screens displaying graphs and charts. The text ""Productivity Principle Predict to Perform"" is written in bold, orange letters at the top. Below that, there is a smaller, white text that says ""Unlock Your Full Potential"".",16:10,2,private,1010028570,default,,auto,
0004_3_an-illustration-of-a-man-with-a-mustache_rulvNjl8RPKFq5EP5ky-9A_Mc6162aDQ3Sxmy5Zo0IIdg.png," ""Productivity Principle Predict to Perform""",AUTO,"An illustration of a man with a mustache and glasses, wearing a suit and tie, standing in front of a chalkboard. The chalkboard has the equation ""Predict to Perform"". The man is holding a pointer. The background is a room with a desk and a bookshelf.",16:10,2,private,1010028570,default,,auto,
0004_4_an-alternative-book-cover-illustration-f_uetX5HQ2Qhe4zjfpr6ZSnQ_Mc6162aDQ3Sxmy5Zo0IIdg.png," ""Productivity Principle Predict to Perform""",AUTO,"An alternative book cover illustration for ""Productivity Principle Predict to Perform"". The image is a futuristic cityscape with flying cars and tall skyscrapers. There is a bright light in the sky. The background is a gradient of orange and purple. The foreground contains a city map and a magnifying glass. The text is white and placed at the bottom.",16:10,2,private,1010028570,default,,auto,
0005_1_a-book-cover-with-the-title-productivity__w56iGTLRN-d8e0oGF1vkQ_jJf3MiXrQqSicOuHPSNNEg_cover.png," ""Productivity Principle Growth vs. Fixed Mind-set""",AUTO,"A book cover with the title ""Productivity Principle: Growth vs. Fixed Mind-set"". There's a simple line diagram of a mountain with the word ""GROWTH"" at the top and ""FIXED"" at the bottom. There's a small person climbing the mountain. The background is a gradient of blue to purple.",16:10,2,private,315522711,default,,auto,
0005_2_a-book-cover-with-a-blue-background-and-_O0NMY3jmQiWLUtW4zO70Gw_jJf3MiXrQqSicOuHPSNNEg.png," ""Productivity Principle Growth vs. Fixed Mind-set""",AUTO,"A book cover with a blue background and white text. In the center, there is a brain with two paths. One path is labeled ""Growth Mind-set"" and has a ladder leading upwards. The other path is labeled ""Fixed Mind-set"" and has a wall. The book title is ""Productivity Principle: Growth vs. Fixed Mind-set"".",16:10,2,private,315522711,default,,auto,
0005_3_an-alternative-book-cover-for-productivi_fUob9jFUThyN4Djndwsw0Q_jJf3MiXrQqSicOuHPSNNEg.png," ""Productivity Principle Growth vs. Fixed Mind-set""",AUTO,"An alternative book cover for ""Productivity Principle Growth vs. Fixed Mind-set"". The cover has a light purple background with white text. There's a tree with green leaves and a few pink flowers. Below the tree is a light blue ribbon with the text ""Growth Mind-set"". Above the tree, there's a light blue sky with a few white clouds.",16:10,2,private,315522711,default,,auto,
0005_4_an-illustration-of-a-person-with-a-growt_kZwgO8vOQvy6BUclWCSnQg_jJf3MiXrQqSicOuHPSNNEg.png," ""Productivity Principle Growth vs. Fixed Mind-set""",AUTO,"An illustration of a person with a growth mindset, represented by a tall, green plant, and a person with a fixed mindset, represented by a smaller, yellow plant. The person with a growth mindset is watering the plant, while the person with a fixed mindset is not. The background contains a whiteboard with the text ""Growth Mindset = Green Plant"".",16:10,2,private,315522711,default,,auto,
0006_1_a-book-cover-with-the-title-productivity_EJsqXJIQQIaZVrYxdxOgfg_rnXR-4YeTHefWY7GNLndSw.png," ""Productivity Principle Batching Buckets""",AUTO,"A book cover with the title ""Productivity Principle Batching Buckets"". There's a large bucket filled with various objects, such as a hammer, a wrench, a pen, and a laptop. The bucket is placed on a wooden platform. There's a background of a workshop with tools hanging on the wall. The overall image has a rustic and industrial aesthetic.",16:10,2,private,1251964438,default,,auto,
0006_2_a-book-cover-with-a-white-background-and_QRcakpf_TF6Fgwiahv7P6w_rnXR-4YeTHefWY7GNLndSw.png," ""Productivity Principle Batching Buckets""",AUTO,"A book cover with a white background and the text ""Productivity Principle Batching Buckets"". There's a bucket full of apples with a few apples scattered around it. There's a hammer and a nail next to the bucket.",16:10,2,private,1251964438,default,,auto,
0006_3_a-digital-illustration-of-a-book-cover-f_QRctyI_BRii6TqTJlzsvaw_rnXR-4YeTHefWY7GNLndSw.png," ""Productivity Principle Batching Buckets""",AUTO,"A digital illustration of a book cover for ""Productivity Principle Batching Buckets"". The cover contains a bucket with the text ""Batching Buckets"" on it. There are various productivity tools around the bucket, including a hammer, a wrench, and a screwdriver. The background is a gradient of blue and orange. There is text above the bucket that says ""Productivity Principle"".",16:10,2,private,1251964438,default,,auto,
0006_4_a-hand-drawn-illustration-of-a-book-cove_bP1oCmYFSI-LhWiEHe0JEw_rnXR-4YeTHefWY7GNLndSw_cover.png," ""Productivity Principle Batching Buckets""",AUTO,"A hand-drawn illustration of a book cover with the title ""Productivity Principle Batching Buckets"". There is a large bucket with the text ""Batching"" on it. There are smaller buckets with the text ""Email"", ""Social Media"", ""Tasks"", and ""Shopping"" on them. There are productivity symbols like a clock, checkmark, and dollar bill next to the buckets. The background is a gradient of pink and purple.",16:10,2,private,1251964438,default,,auto,
0007_1_a-book-cover-with-a-dark-background-and-_7786kQX6TaO7wkTwaT-qng_nkPZ9Sy_TvGFgvTdMwOXOQ_cover.png," ""Product Demos That Sell How to Deliver Winning SaaS Demos""",AUTO,"A book cover with a dark background and white text that says ""Product Demos That Sell: How to Deliver Winning SaaS Demos"". There is a silhouette of a person giving a presentation.",16:10,2,private,476934149,default,,auto,
0007_2_a-book-cover-with-the-title-product-demo_JoRHrsgiRPCSFjNzy6SATg_nkPZ9Sy_TvGFgvTdMwOXOQ.png," ""Product Demos That Sell How to Deliver Winning SaaS Demos""",AUTO,"A book cover with the title ""Product Demos That Sell: How to Deliver Winning SaaS Demos"". There's a speech bubble coming out of the book with the text ""Learn how to convert more leads into paying customers"". The background is a blue gradient.",16:10,2,private,476934149,default,,auto,
0007_3_a-book-cover-illustration-of-a-man-givin_loskHuo0RPaahCYiAy_zkw_nkPZ9Sy_TvGFgvTdMwOXOQ.png," ""Product Demos That Sell How to Deliver Winning SaaS Demos""",AUTO,A book cover illustration of a man giving a presentation with a laptop. The laptop screen shows a software interface. The background is a conference room with a projector screen and audience members. The title and author of the book are displayed at the top.,16:10,2,private,476934149,default,,auto,
0007_4_a-book-cover-illustration-with-a-blue-ba_xjz14RHHRnKFMyh6ddol8w_nkPZ9Sy_TvGFgvTdMwOXOQ.png," ""Product Demos That Sell How to Deliver Winning SaaS Demos""",AUTO,"A book cover illustration with a blue background and a white outline of a person giving a presentation. The person is holding a remote control and is standing in front of a large screen. There are multiple screens displaying different aspects of a software product. The title of the book is ""Product Demos That Sell: How to Deliver Winning SaaS Demos"".",16:10,2,private,476934149,default,,auto,
0008_1_a-book-cover-with-a-modern-and-artistic-_ALd4K6uvQIKadFRKQJf8rQ_eYaAatWlSi-VE-yfHWVm8w.png," ""Pride and Prejudice""",AUTO,"A book cover with a modern and artistic twist on the classic novel ""Pride and Prejudice"". The background is a gradient of pink and orange. There are silhouettes of a man and a woman dancing. There is a quill and an open book on the ground. The title and author's name are written in white, modern font.",16:10,2,private,99528075,default,,auto,
0008_2_an-alternative-book-cover-for-pride-and-_DwvdjrRyQ7y_PY1lS0mNxw_eYaAatWlSi-VE-yfHWVm8w.png," ""Pride and Prejudice""",AUTO,"An alternative book cover for ""Pride and Prejudice"". It features a vintage style image of Elizabeth Bennet and Mr. Darcy standing on a rocky terrain near a body of water. Elizabeth is wearing a white dress and a bonnet, while Mr. Darcy is wearing a dark suit. The background contains a serene landscape with mountains, trees, and a sky with clouds.",16:10,2,private,99528075,default,,auto,
0008_3_a-high-quality-photo-of-a-vintage-book-c_kVDmINzsSu-NPB2CirTMpg_eYaAatWlSi-VE-yfHWVm8w_cover.png," ""Pride and Prejudice""",AUTO,"A high-quality photo of a vintage book cover with gold text. The background is a pattern of intertwined hearts and flowers. The book title is ""Pride and Prejudice"".",16:10,2,private,99528075,default,,auto,
0008_4_a-book-cover-image-of-pride-and-prejudic_uYs-k-ouQjuGee4gIGIFTA_eYaAatWlSi-VE-yfHWVm8w.png," ""Pride and Prejudice""",AUTO,"A book-cover image of ""Pride and Prejudice"" with an alternative design. There is a vintage image of a ballroom with dancing couples. The background is a dark blue. The title and author's name are written in gold, with a pattern of intertwined hearts and vines surrounding them.",16:10,2,private,99528075,default,,auto,
0009_1_a-book-cover-with-the-title-pricing-the-_BfXihlT7SqyHahi9FdwwDQ_C9UXBCclTTGuKX78414p8g.png," ""Pricing The Third Business Skill EBook Principles of Price Management""",AUTO,"A book cover with the title ""Pricing The Third Business Skill EBook Principles of Price Management"". The background is a dark blue gradient with white text. There is a white and blue price tag with the text ""Pricing The Third Business Skill"". There is a white and blue circle with the text ""Principles of Price Management"".",16:10,2,private,1403059633,default,,auto,
0009_2_an-alternative-book-cover-for-pricing-th_soflNCA3QPuElPQd3jw_dg_C9UXBCclTTGuKX78414p8g.png," ""Pricing The Third Business Skill EBook Principles of Price Management""",AUTO,"An alternative book cover for ""Pricing The Third Business Skill EBook Principles of Price Management"". The cover is a collage of various images related to business, including a hand holding a dollar sign, a bar chart, a price tag, and a calculator. The text is written in bold, black font, with the title at the top and the author's name at the bottom. The background is a gradient of blue to orange.",16:10,2,private,1403059633,default,,auto,
