filename,prompt,magic_prompt,magic_prompt_output,aspect_ratio,model,visibility,seed_number,rendering,negative_prompt,style,color_palette
0001_1_a-book-cover-with-the-title-stonks-from-_9B2qBPdeRMSrHQbsy9wqaQ_M2EpehuRS9-aYpnLiGyEDQ_cover.png,"A alternative book cover for ""Stonks from scratch The guide to get started in stock market""",AUTO,"A book cover with the title ""Stonks from Scratch: The guide to get started in the stock market"". The background is a stock market graph with a rising trend. There's a calculator and a pen on a desk. The overall design is modern and minimalist.",16:10,2.0,private,1888521574,default,,auto,
0001_2_a-book-cover-with-a-cartoon-of-a-very-ha_KOmyfHwTT_anisA4lR595Q_M2EpehuRS9-aYpnLiGyEDQ.png,"A alternative book cover for ""Stonks from scratch The guide to get started in stock market""",AUTO,"A book cover with a cartoon of a very happy pig wearing a top hat and holding a cane. The pig is standing in a field of money. In the background, there's a building with a sign that says ""Stock Market"". The text on the cover says ""Stonks from scratch: The guide to get started in the stock market"".",16:10,2.0,private,1888521574,default,,auto,
0001_3_an-alternative-book-cover-illustration-f_MDPB5jxDQUeVwBSbteKhUw_M2EpehuRS9-aYpnLiGyEDQ.png,"A alternative book cover for ""Stonks from scratch The guide to get started in stock market""",AUTO,"An alternative book cover illustration for ""Stonks from scratch The guide to get started in stock market"". There's a chimpanzee holding a broker's desk and trading stocks. The background is a stock market exchange.",16:10,2.0,private,1888521574,default,,auto,
0001_4_a-book-cover-illustration-with-a-monkey-_kgqKnBIlSsyDD6IiYQe5FA_M2EpehuRS9-aYpnLiGyEDQ.png,"A alternative book cover for ""Stonks from scratch The guide to get started in stock market""",AUTO,"A book cover illustration with a monkey holding a penny. The background contains a stock market chart with a rising trend. There are coins and a dollar bill nearby. The text ""Stonks from scratch: The guide to get started in the stock market"" is displayed at the bottom.",16:10,2.0,private,1888521574,default,,auto,
0002_1_a-photo-of-a-bookshelf-with-multiple-boo_ZHdpPO0eRTeaTXaPle-I9A_sOu1abKLR2CktlJYpttFeg_cover.png,"A alternative book cover for ""Stocks and Life Snippets from the life of Abhishek Kar""",AUTO,"A photo of a bookshelf with multiple books. The middle book has a yellow cover with black text that says ""Stocks and Life Snippets from the life of Abhishek Kar"". The book is placed on top of a red box. There's a green plant next to the book. The background is blurred and contains various items.",16:10,2.0,private,2054498112,default,,auto,
0002_2_an-alternative-book-cover-for-stocks-and_a7geCb27ToqufcC1MckS5Q_sOu1abKLR2CktlJYpttFeg.png,"A alternative book cover for ""Stocks and Life Snippets from the life of Abhishek Kar""",AUTO,"An alternative book cover for ""Stocks and Life Snippets from the life of Abhishek Kar"". The cover is a collage of images. There is a red stock market graph with a bullish trend. There is a photo of a man with a mustache and glasses. There is a photo of a woman with short hair. There is a photo of a building. There is a photo of a mountain range. The background color is beige.",16:10,2.0,private,2054498112,default,,auto,
0002_3_an-alternative-book-cover-illustration-f_quQ-I0LGTrKctaSMRnOQgw_sOu1abKLR2CktlJYpttFeg.png,"A alternative book cover for ""Stocks and Life Snippets from the life of Abhishek Kar""",AUTO,"An alternative book cover illustration for ""Stocks and Life Snippets from the life of Abhishek Kar"". The illustration features a man with a briefcase at a crossroads. The background is a city with tall buildings. There are stocks with prices in the foreground.",16:10,2.0,private,2054498112,default,,auto,
0002_4_an-alternative-book-cover-illustration-f_xMLGFMhMSQKj4C6wW0RpBA_sOu1abKLR2CktlJYpttFeg.png,"A alternative book cover for ""Stocks and Life Snippets from the life of Abhishek Kar""",AUTO,"An alternative book cover illustration for ""Stocks and Life Snippets from the life of Abhishek Kar"". There is a man sitting on a rock in the middle of a serene lake. The reflection of the man and the rock can be seen on the water's surface. The background is a lush green forest with tall trees. The sky is clear with a few clouds. The text of the book title and author's name is written in bold, white font at the bottom.",16:10,2.0,private,2054498112,default,,auto,
0003_1_a-book-cover-with-the-title-stock-tradin_4rVvv1PoSeCmNN4B8XmUrg_0Ec4fEuNTjuuSbOfgQC0kQ.png,"A alternative book cover for ""Stock Trading Secrets A Beginners Guide To Profit From The Stock Market Even If You Have No Experience""",AUTO,"A book cover with the title ""Stock Trading Secrets: A Beginner's Guide to Profit From the Stock Market Even If You Have No Experience"". The background is a stock market ticker with rising stock prices. There is a green arrow pointing upwards, symbolizing growth. The overall design is minimalistic, with a dark background and white text.",16:10,2.0,private,315925455,default,,auto,
0003_2_a-book-cover-with-the-title-stock-tradin_f32wLCZmQrePRctIKI5UQQ_0Ec4fEuNTjuuSbOfgQC0kQ.png,"A alternative book cover for ""Stock Trading Secrets A Beginners Guide To Profit From The Stock Market Even If You Have No Experience""",AUTO,"A book cover with the title ""Stock Trading Secrets: A Beginner's Guide to Profit From the Stock Market Even If You Have No Experience"". The background is a stock market graph with a positive trend. There is a money bag and a stock market building in the foreground. The overall design is modern and minimalistic.",16:10,2.0,private,315925455,default,,auto,
0003_3_an-alternative-book-cover-illustration-f_sXmZPU8NTPCP-RRzXj5N-g_0Ec4fEuNTjuuSbOfgQC0kQ.png,"A alternative book cover for ""Stock Trading Secrets A Beginners Guide To Profit From The Stock Market Even If You Have No Experience""",AUTO,"An alternative book cover illustration for ""Stock Trading Secrets: A Beginner's Guide To Profit From The Stock Market Even If You Have No Experience"". The image features a stock market chart with green and red bars. There is a golden coin with the stock market symbol on it. In the background, there is a city skyline with tall buildings. The overall image has a golden hue.",16:10,2.0,private,315925455,default,,auto,
0003_4_an-alternative-book-cover-illustration-f_vdbzoBkBQEyL8qEaegDM8A_0Ec4fEuNTjuuSbOfgQC0kQ_cover.png,"A alternative book cover for ""Stock Trading Secrets A Beginners Guide To Profit From The Stock Market Even If You Have No Experience""",AUTO,"An alternative book cover illustration for ""Stock Trading Secrets: A Beginner's Guide to Profit From the Stock Market Even If You Have No Experience"". The illustration features a hand holding a smartphone with the stock market app open. There are rising and falling graphs representing stock market fluctuations. In the background, there's a city skyline with tall buildings. The overall image has a warm color palette with shades of orange and yellow.",16:10,2.0,private,315925455,default,,auto,
0004_1_a-book-cover-with-a-background-of-a-stoc_MTXVC_VARTi-OSPscaZerQ_cHGaX9cOS_Wg5-fwV0CJFA.png,"A alternative book cover for ""Stock Market Terminology for Beginners  A Complete Guide to Learning the Stock Market Lingo""",AUTO,"A book cover with a background of a stock market graph with green and red lines. The title of the book is ""Stock Market Terminology for Beginners: A Complete Guide to Learning the Stock Market Lingo"". The author's name is ""John Doe"". There's a silhouette of a person with their hand raised, as if in class.",16:10,2.0,private,92237383,default,,auto,
0004_2_an-alternative-book-cover-for-stock-mark_pr6bGeLCQ5qUm5yo5Sp6Cg_cHGaX9cOS_Wg5-fwV0CJFA_cover.png,"A alternative book cover for ""Stock Market Terminology for Beginners  A Complete Guide to Learning the Stock Market Lingo""",AUTO,"An alternative book cover for ""Stock Market Terminology for Beginners: A Complete Guide to Learning the Stock Market Lingo"". The cover has a stock ticker tape with green and red arrows. In the background, there's a city skyline with a few buildings. The text is in white and placed over the ticker tape. The book title and author's name are placed at the bottom.",16:10,2.0,private,92237383,default,,auto,
0004_3_an-alternative-book-cover-design-with-a-_rkpec9nWTECDs3cPQHgHrw_cHGaX9cOS_Wg5-fwV0CJFA.png,"A alternative book cover for ""Stock Market Terminology for Beginners  A Complete Guide to Learning the Stock Market Lingo""",AUTO,"An alternative book cover design with a large, bold title ""Stock Market Terminology for Beginners: A Complete Guide to Learning the Stock Market Lingo"". The background is a collage of stock market charts with green and red lines. There are also icons of a bull and a bear, representing bullish and bearish market trends. The overall design is in a dark blue color scheme.",16:10,2.0,private,92237383,default,,auto,
0004_4_a-vector-illustration-of-a-book-cover-wi_ycwmmGYTT3-dhgILCd84mg_cHGaX9cOS_Wg5-fwV0CJFA.png,"A alternative book cover for ""Stock Market Terminology for Beginners  A Complete Guide to Learning the Stock Market Lingo""",AUTO,"A vector illustration of a book cover with the title ""Stock Market Terminology for Beginners: A Complete Guide to Learning the Stock Market Lingo"". The background is a collage of stock market symbols, such as bulls and bears. There are also some financial instruments, like a stock chart and a trading platform. The overall design is clean and professional.",16:10,2.0,private,92237383,default,,auto,
0005_1_an-alternative-book-cover-for-stock-char_5bTcsC2RS_SPdTRaOi18eg_h7_9USYITBKXErnjaWrlVw_cover.png,"A alternative book cover for ""STOCK CHART PATTERNS A Guide to Making Informed Stock Trading Decisions with Technical Analysis and Charting Technical Analysis in Trading""",AUTO,"An alternative book cover for ""STOCK CHART PATTERNS A Guide to Making Informed Stock Trading Decisions with Technical Analysis and Charting Technical Analysis in Trading"". The cover image is a stock market chart with various patterns, including head and shoulders, double top, and double bottom. There are arrows pointing at the patterns. The background is a light gray. The title and author's name are written in white text.",16:10,2.0,private,457908179,default,,auto,
0005_2_a-stock-market-chart-with-various-patter_7RquJUDyS0u0gSB80gbu3Q_h7_9USYITBKXErnjaWrlVw.png,"A alternative book cover for ""STOCK CHART PATTERNS A Guide to Making Informed Stock Trading Decisions with Technical Analysis and Charting Technical Analysis in Trading""",AUTO,"A stock market chart with various patterns. The chart has multiple lines, including a blue line representing the stock price and red lines marking key support and resistance levels. There are also other lines, such as the orange moving average line. The background contains a city skyline with tall buildings.",16:10,2.0,private,457908179,default,,auto,
0005_3_an-illustration-of-a-stock-chart-with-mu_ea7zl5OESRW_mQ_eZMg6Xw_h7_9USYITBKXErnjaWrlVw.png,"A alternative book cover for ""STOCK CHART PATTERNS A Guide to Making Informed Stock Trading Decisions with Technical Analysis and Charting Technical Analysis in Trading""",AUTO,"An illustration of a stock chart with multiple patterns, such as heads and shoulders, double bottoms, and triangles. There are also arrows indicating the direction of price movement. The background is a city skyline with tall buildings. The title of the book is written at the top in a bold, modern font.",16:10,2.0,private,457908179,default,,auto,
0005_4_an-alternative-book-cover-illustration-f_v9E18Wt7T5a31qoy37iL2g_h7_9USYITBKXErnjaWrlVw.png,"A alternative book cover for ""STOCK CHART PATTERNS A Guide to Making Informed Stock Trading Decisions with Technical Analysis and Charting Technical Analysis in Trading""",AUTO,"An alternative book cover illustration for ""STOCK CHART PATTERNS: A Guide to Making Informed Stock Trading Decisions with Technical Analysis and Charting Technical Analysis in Trading"". The cover features a stock chart with various patterns, such as head and shoulders, double top, and double bottom. There's a stock with a green upward arrow, indicating a gain. Below the chart, there's a bull and a bear, representing the stock market. The background is a gradient of blue and purple.",16:10,2.0,private,457908179,default,,auto,
0006_1_a-minimalistic-alternative-book-cover-fo_PnVq6yJyQMiXllKH_twpxQ_gQUQo4dwQZWpU4LPCKrEbw_cover.png,"A alternative book cover for ""Steve Jobs Success Secrets""",AUTO,"A minimalistic alternative book cover for ""Steve Jobs Success Secrets"". A silhouette of Steve Jobs is sitting in a chair. The background is a gradient of blue and orange.",16:10,2.0,private,147338827,default,,auto,
0006_2_a-book-cover-with-a-photo-of-steve-jobs-_RBqJO0u-QzyjdLGNbSYc4A_gQUQo4dwQZWpU4LPCKrEbw.png,"A alternative book cover for ""Steve Jobs Success Secrets""",AUTO,"A book cover with a photo of Steve Jobs in the foreground. Behind him is a silhouette of the Apple logo. The background is a blurred image of a crowd. The text on the cover is ""Steve Jobs Success Secrets"".",16:10,2.0,private,147338827,default,,auto,
0006_3_an-illustration-of-steve-jobs-at-a-young_gxGcQQEySuKjBro6Z29q6A_gQUQo4dwQZWpU4LPCKrEbw.png,"A alternative book cover for ""Steve Jobs Success Secrets""",AUTO,"An illustration of Steve Jobs at a young age, holding a apple and a circuit board. The background contains a lightbulb, a laptop, and the text ""Steve Jobs Success Secrets"".",16:10,2.0,private,147338827,default,,auto,
0006_4_an-illustration-of-a-book-cover-for-stev_u9U_C6hXRQ23Nq_InqFA-A_gQUQo4dwQZWpU4LPCKrEbw.png,"A alternative book cover for ""Steve Jobs Success Secrets""",AUTO,"An illustration of a book cover for ""Steve Jobs Success Secrets"". It features a silhouette of Steve Jobs against a background of Apple icons. The title and author's name are in bold, modern font. The background is a gradient of blue to purple.",16:10,2.0,private,147338827,default,,auto,
0007_1_a-book-cover-with-a-background-of-the-sk_5yzu3ROpSq-KuXWyZEuejQ_1xh7homfSlWp84tyNi4ERg_cover.png,"A alternative book cover for ""Startup Nation The Story of Israels Economic Miracle""",AUTO,"A book cover with a background of the skyline of Tel Aviv, Israel with modern skyscrapers and historic buildings. The text ""Startup Nation: The Story of Israel's Economic Miracle"" is written at the top in bold, yellow letters. The author's name, ""Nir M. Kossovsky"", is written in smaller, gray letters below the title. The bottom of the cover contains a silhouette of a person with outstretched arms against a sunset sky.",16:10,2.0,private,78019067,default,,auto,
0007_2_a-book-cover-with-a-modern-design-featur_gSuGuT6ySViu93jUaG1vdw_1xh7homfSlWp84tyNi4ERg.png,"A alternative book cover for ""Startup Nation The Story of Israels Economic Miracle""",AUTO,"A book cover with a modern design featuring the title ""Startup Nation: The Story of Israel's Economic Miracle"" in bold, white letters. Below the title is the subtitle ""The Story of Israel's Economic Miracle"" in smaller, white letters. The background is a gradient of orange, yellow, and blue. There is a silhouette of the Israeli flag, with its blue and white stripes and white star. The flag is placed over the gradient background. Below the flag, there is the author's name, ""Nathan Myhrvold and Eitan Mor"", in white letters.",16:10,2.0,private,78019067,default,,auto,
0007_3_a-book-cover-illustration-with-the-title_oi_pJ9W-TeiK0fKenbLrpg_1xh7homfSlWp84tyNi4ERg.png,"A alternative book cover for ""Startup Nation The Story of Israels Economic Miracle""",AUTO,"A book cover illustration with the title ""Startup Nation: The Story of Israel's Economic Miracle"". The background is a city with modern architecture, including tall skyscrapers. There are multiple silhouettes of people in the foreground, with some raising their hands. There is a large, glowing, and pixelated Jewish star in the sky. The overall image has a vintage, pixelated aesthetic.",16:10,2.0,private,78019067,default,,auto,
0007_4_an-illustration-of-a-diverse-group-of-pe_zcZgkPwXRGSl5wRVmIHAMQ_1xh7homfSlWp84tyNi4ERg.png,"A alternative book cover for ""Startup Nation The Story of Israels Economic Miracle""",AUTO,"An illustration of a diverse group of people working together in a tech startup. There's a woman with dark hair wearing glasses and a grey top, she's typing on a keyboard. Next to her is a man with short dark hair wearing a blue shirt, he's holding a pen and looking intently at something. The background is a modern office with various equipment such as computers, projectors, and plants. The overall image has a warm hue.",16:10,2.0,private,78019067,default,,auto,
0008_1_a-book-cover-with-the-title-startup-less_dymA_d8dRXCBasdiPNWJsQ_mpHi5YqISaqbylb_70s_IQ.png,"A alternative book cover for ""Startup Lessons from Zomato How a Side Hustle has become a Global FoodTech Player Indian Unicorns""",AUTO,"A book cover with the title ""Startup Lessons from Zomato: How a Side Hustle has become a Global FoodTech Player Indian Unicorns"". The background is a collage of images related to Zomato, including food items, a Zomato logo, and a delivery person on a scooter. The overall design is vibrant and modern.",16:10,2.0,private,1323451436,default,,auto,
0008_2_a-book-cover-with-the-title-startup-less_sSRt0XRvTtOZlxq3aoU9sQ_mpHi5YqISaqbylb_70s_IQ.png,"A alternative book cover for ""Startup Lessons from Zomato How a Side Hustle has become a Global FoodTech Player Indian Unicorns""",AUTO,"A book cover with the title ""Startup Lessons from Zomato: How a Side Hustle has become a Global FoodTech Player Indian Unicorns"". The cover has a orange background with white text. There's a silhouette of a person with outstretched arms. The silhouette is superimposed on a photo of a bustling street with food stalls. There's a Zomato logo in the corner.",16:10,2.0,private,1323451436,default,,auto,
0008_3_an-illustration-of-a-book-cover-with-the_yudz8CFpRxq6Kugz8_fYRw_mpHi5YqISaqbylb_70s_IQ_cover.png,"A alternative book cover for ""Startup Lessons from Zomato How a Side Hustle has become a Global FoodTech Player Indian Unicorns""",AUTO,"An illustration of a book cover with the title ""Startup Lessons from Zomato: How a Side Hustle has become a Global FoodTech Player Indian Unicorns"". The cover features a rocket ship with multiple stages, each stage representing a milestone in Zomato's journey. The rocket is launching from a pad with the Zomato logo. The background is a dark blue sky with stars. The overall design is clean and modern.",16:10,2.0,private,1323451436,default,,auto,
