filename,prompt,magic_prompt,magic_prompt_output,aspect_ratio,model,visibility,seed_number,rendering,negative_prompt,style,color_palette
0001_1_a-book-cover-with-a-golden-background-th_Jy8NXVxwQTaH_VoULcy-Dw_Itl0L67XRKmvCoTLRnU0xw.png,"A alternative book cover for ""Insights†from† The†5†Elements †of†Effective†Thinking†by†Edward†Burger† &†Michael†Starbird""",AUTO,"A book cover with a golden background. There is a large, blue, circular symbol with a white, stylized eye in the center. Surrounding the symbol are the book's title and authors' names, written in white, italicized text. Below the title and authors' names is the subtitle, also written in white, italicized text.",16:10,2.0,private,792708457,default,,auto,
0001_2_a-book-cover-with-a-complex-abstract-des_KXwBZi7FQ5e1dqYMTRH_6A_Itl0L67XRKmvCoTLRnU0xw.png,"A alternative book cover for ""Insights†from† The†5†Elements †of†Effective†Thinking†by†Edward†Burger† &†Michael†Starbird""",AUTO,"A book cover with a complex, abstract design. The background is a gradient of orange to blue. There are five circles, each with a distinct pattern, floating in the air. The circles are orange, yellow, green, blue, and purple. The orange circle has a grid pattern. The yellow circle has a swirl pattern. The green circle has a leaf pattern. The blue circle has a wave pattern. The purple circle has a star pattern. There are small, white, circular accents scattered throughout the background. The title and author's names are written in white, modern font. The title is centered at the top and the author's name is centered at the bottom.",16:10,2.0,private,792708457,default,,auto,
0001_3_a-book-cover-illustration-of-the-five-el_WtUCIZN9Qey3FBXebNR6Fg_Itl0L67XRKmvCoTLRnU0xw_cover.png,"A alternative book cover for ""Insights†from† The†5†Elements †of†Effective†Thinking†by†Edward†Burger† &†Michael†Starbird""",AUTO,"A book cover illustration of the five elements of effective thinking: water, earth, air, fire, and ether. Each element is represented by a unique symbol and color. The background is a gradient of blue to purple. The title and author's names are written in white, modern font.",16:10,2.0,private,792708457,default,,auto,
0001_4_an-illustration-of-the-five-elements-of-_bKNQQtrCQPytkwkHrhoR-A_Itl0L67XRKmvCoTLRnU0xw.png,"A alternative book cover for ""Insights†from† The†5†Elements †of†Effective†Thinking†by†Edward†Burger† &†Michael†Starbird""",AUTO,"An illustration of the five elements of effective thinking: water, fire, earth, air, and ether. Each element is represented by a large symbol, with water as a wave, fire as a flame, earth as a mountain, air as a feather, and ether as a spiral galaxy. The elements are arranged in a circle, with the title of the book, ""Insights from The 5 Elements of Effective Thinking by Edward Burger & Michael Starbird"", written in a modern, sans-serif font below the elements. The background is a gradient of blue and purple.",16:10,2.0,private,792708457,default,,auto,
0002_1_an-alternative-book-cover-for-insights-f_Oa5Tuny4TXWXPM6i9cNLEQ_lHQmpyRNSUe9xsCp9B4ojQ.png,"A alternative book cover for ""Insights†from† The†5†AM†Club†by†Robin† Sharma""",AUTO,"An alternative book cover for ""Insights from The 5 AM Club by Robin Sharma"". The cover features a serene landscape with mountains, a calm lake, and a few trees. The sky is painted with warm hues of orange and pink. The title and author's name are written in bold, white letters at the bottom. The background has a subtle, textured pattern.",16:10,2.0,private,1933205533,default,,auto,
0002_2_an-alternative-book-cover-for-insights-f_c6MdpHsCTsCVPHOLVyF8lw_lHQmpyRNSUe9xsCp9B4ojQ.png,"A alternative book cover for ""Insights†from† The†5†AM†Club†by†Robin† Sharma""",AUTO,"An alternative book cover for ""Insights from The 5 AM Club by Robin Sharma"". The cover features a silhouette of a person standing on a cliff at dawn, with the sun rising behind them. The background is a serene landscape with calm waters, lush greenery, and a few buildings. The text is written in a modern, sans-serif font, with the title in a slightly larger size than the author's name.",16:10,2.0,private,1933205533,default,,auto,
0002_3_a-book-cover-with-the-title-insights-fro_n5mvlFCSQk-YXttOdupoHQ_lHQmpyRNSUe9xsCp9B4ojQ.png,"A alternative book cover for ""Insights†from† The†5†AM†Club†by†Robin† Sharma""",AUTO,"A book cover with the title ""Insights†from† The†5†AM†Club†by†Robin† Sharma"". There's a silhouette of a man standing on a mountain peak. The background contains a setting sun and a few clouds, with a sky that transitions from orange to blue.",16:10,2.0,private,1933205533,default,,auto,
0002_4_an-alternative-book-cover-illustration-f_rs7KtK-MRHO0s0a6NKJqTw_lHQmpyRNSUe9xsCp9B4ojQ_cover.png,"A alternative book cover for ""Insights†from† The†5†AM†Club†by†Robin† Sharma""",AUTO,"An alternative book cover illustration for ""Insights†from† The†5†AM†Club†by†Robin†Sharma"". The cover features a silhouette of a man with outstretched arms against a vibrant orange background. The title and author's name are written in bold, white text at the bottom. There is also a yellow circle with the text ""5 AM"" in the top left corner.",16:10,2.0,private,1933205533,default,,auto,
0003_1_an-alternative-book-cover-for-insights-f_IverCqDVTeCJ3Iet-zqe6g_jmBzAolUTWOYtO0uuZq6NQ_cover.png,"A alternative book cover for ""Insights†from† The†48†Laws† of†Power† by†Robert†Greene""",AUTO,"An alternative book cover for ""Insights from The 48 Laws of Power by Robert Greene"". The cover features a close-up shot of a chessboard with a white knight piece on a black square. The background is a dark grey tone. The title and author's name are written in white, modern font.",16:10,2.0,private,882411208,default,,auto,
0003_2_a-alternative-book-cover-for-insights-fr_bIPQ1vTBRUK2QTrYMErH1w_jmBzAolUTWOYtO0uuZq6NQ.png,"A alternative book cover for ""Insights†from† The†48†Laws† of†Power† by†Robert†Greene""",AUTO,"A alternative book cover for ""Insights from The 48 Laws of Power by Robert Greene"". The cover features a silhouette of a person with their hands raised in victory. The background is a city skyline with tall buildings. There are small images of hands with raised fingers throughout the cover.",16:10,2.0,private,882411208,default,,auto,
